"numer","wiek","plec","wyksztalcenie","miejsce","kwota","wojewodztwo","wysylka_oferty","zakup"
1,32,1,"srednie","wies",110.810557762995,"dolsl",0,0
2,26,1,"wyzsze","m100_500",100.857512962353,"zachpom",0,0
3,20,0,"srednie","m100_500",66.1990170529905,"zachpom",0,0
4,18,1,"policealne","m100_500",77.0170560805898,"sl¹s",1,0
5,26,1,"srednie","m100_500",137.221166780509,"zachpom",0,0
6,33,0,"wyzsze","m0_10",46.6097961228836,"dolsl",0,0
7,18,1,"srednie","m_500",51.6224575820018,"dolsl",0,0
8,20,0,"podstawowe","m0_10",28.0609765676251,"dolsl",1,1
9,22,0,"policealne","m10_100",102.594905899631,"dolsl",0,0
10,26,1,"srednie","wies",74.6787218852024,"dolsl",0,0
11,21,1,"srednie","m10_100",64.9668488627184,"dolsl",0,0
12,30,0,"srednie","m_500",108.440166599080,"zachpom",0,0
13,20,0,"podstawowe","wies",104.545918791329,"zachpom",0,0
14,25,0,"wyzsze","m_500",141.086276087453,"dolsl",0,1
15,22,0,"srednie","m100_500",0,"dolsl",0,0
16,20,1,"srednie","m_500",65.001121297626,"zachpom",0,0
17,19,1,"srednie","m0_10",42.83329988438,"dolsl",0,0
18,35,0,"podstawowe","wies",65.4828182955544,"lubel",0,0
19,38,1,"wyzsze","m10_100",104.359015722226,"dolsl",0,0
20,32,1,"srednie","m_500",66.4338551833501,"zachpom",0,0
21,35,0,"wyzsze","m_500",116.782853889606,"zachpom",0,1
22,29,0,"srednie","m100_500",78.4635804145916,"dolsl",1,1
23,25,1,"podstawowe","m0_10",114.416752307521,"zachpom",1,0
24,35,0,"srednie","m0_10",53.0987646425265,"dolsl",0,0
25,27,1,"wyzsze","m10_100",191.621154276838,"zachpom",0,1
26,21,0,"srednie","m_500",155.679164786962,"dolsl",0,0
27,25,1,"wyzsze","m0_10",77.830223671102,"zachpom",0,0
28,19,0,"srednie","m0_10",77.5735206198178,"dolsl",0,0
29,21,0,"srednie","m0_10",123.002108810484,"dolsl",0,0
30,29,0,"srednie","wies",109.744285607420,"dolsl",1,1
31,25,1,"srednie","m0_10",55.8174701557041,"dolsl",0,0
32,23,0,"podstawowe","m10_100",114.347146212752,"zachpom",1,0
33,32,0,"srednie","m100_500",0,"dolsl",0,0
34,26,1,"srednie","m0_10",94.7963081133864,"dolsl",0,0
35,22,0,"policealne","m10_100",244.317496809609,"zachpom",1,0
36,36,0,"wyzsze","m0_10",55.564723961611,"dolsl",1,1
37,25,1,"srednie","m100_500",33.4672349612417,"dolsl",0,0
38,35,0,"srednie","m0_10",140.357584076059,"zachpom",0,0
